"키","분류","명칭","주소","행정 시","행정 구","행정 동","전화번호","홈페이지주소","HTML사용여부","X 좌표","Y 좌표"
"BE_IW10-0512","문화재유산|문화재구분|집터","서울 경모궁지(景慕宮址)","서울특별시 종로구 연건동 28-2","서울특별시","종로구","이화동","","","Y ","127.0006005000","37.5805685000"
"BE_IW10-0513","문화재유산|문화재구분|집터","우암 송시열 집터","서울특별시 종로구 명륜1가 5-99","서울특별시","종로구","혜화동","","","Y ","126.9969440000","37.5907127000"
"BE_IW10-0476","문화재유산|문화재구분|가옥","혜화동 김상협 가옥","서울특별시 종로구 혜화동 15-139","서울특별시","종로구","혜화동","","","Y ","127.0013976000","37.5895801000"
"BE_IW10-0477","문화재유산|문화재구분|가옥","안국동 윤보선가","서울특별시 종로구 안국동 8-1","서울특별시","종로구","삼청동","","","Y ","126.9837587000","37.5790018000"
"BE_IW10-0478","문화재유산|문화재구분|가옥","서울 계동 근대 한옥","서울특별시 종로구 계동 105","서울특별시","종로구","가회동","","","Y ","126.9864295000","37.5790692000"
"BE_IW10-0479","문화재유산|문화재구분|가옥","서울 계동 배렴 가옥","서울특별시 종로구 계동 72","서울특별시","종로구","가회동","","","Y ","126.9866095000","37.5813154000"
"BE_IW10-0480","문화재유산|문화재구분|가옥","옥인동 박노수 가옥","서울특별시 종로구 옥인동 168-2","서울특별시","종로구","청운효자동","","","Y ","126.9667572000","37.5813721000"
"BE_IW10-0481","문화재유산|문화재구분|가옥","운니동 김승현 가옥 (운현궁 영로당)","서울특별시 종로구 운니동 114-32","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9866426000","37.5764528000"
"BE_IW10-0482","문화재유산|문화재구분|가옥","반계 윤웅렬 별장","서울특별시 종로구 부암동 348","서울특별시","종로구","부암동","","","Y ","126.9621504000","37.5902480000"
"BE_IW10-0483","문화재유산|문화재구분|가옥","서울 홍지동 이광수 별장 터","서울특별시 종로구 홍지동 40","서울특별시","종로구","부암동","","","Y ","126.9560406000","37.6002694000"
"BE_IW10-0484","문화재유산|문화재구분|가옥","서울 평창동 박종화 가옥","서울특별시 종로구 평창동 128-1","서울특별시","종로구","평창동","","","Y ","126.9673329000","37.6122517000"
"BE_IW10-0485","문화재유산|문화재구분|가옥","서울 명륜동 장면 가옥","서울특별시 종로구 명륜동 36-1","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9796420000","37.5730330000"
"BE_IW10-0486","문화재유산|문화재구분|가옥","서울 누하동 이상범 가옥과 화실","서울특별시 종로구 누하동 178181","서울특별시","종로구","청운효자동","","","Y ","126.9684084000","37.5788517000"
"BE_IW10-0487","문화재유산|문화재구분|가옥","서울 원서동 고희동 가옥","서울특별시 종로구 원서동 16","서울특별시","종로구","가회동","","","Y ","126.9889583000","37.5831391000"
"BE_IW10-0488","문화재유산|문화재구분|가옥","서울 홍파동 홍난파 가옥","서울특별시 종로구 홍파동 2-16","서울특별시","종로구","교남동","","","Y ","126.9651141000","37.5716567000"
"BE_IW10-0489","문화재유산|문화재구분|가옥","서울 이화장","서울특별시 종로구 이화동 1번지 등","서울특별시","종로구","이화동","","","Y ","127.0064395000","37.5783498000"
"BE_IW10-0490","문화재유산|문화재구분|가옥","가회동 이준구 가옥","서울특별시 종로구 가회동 31-1","서울특별시","종로구","가회동","","","Y ","126.9837718000","37.5836876000"
"BE_IW10-0491","문화재유산|문화재구분|가옥","체부동 홍종문 가옥","서울특별시 종로구 체부동 158","서울특별시","종로구","사직동","","","Y ","126.9701009000","37.5775321000"
"BE_IW10-0492","문화재유산|문화재구분|가옥","경운동 민병옥 가옥","서울특별시 종로구 경운동 66-7","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9859435000","37.5747066000"
"BE_IW10-0493","문화재유산|문화재구분|가옥","가회동 김형태 가옥","서울특별시 종로구 가회동 16-8","서울특별시","종로구","가회동","","","Y ","126.9849052000","37.5829296000"
"BE_IW10-0494","문화재유산|문화재구분|가옥","가회동 한씨 가옥","서울특별시 종로구 가회동 178","서울특별시","종로구","가회동","","","Y ","126.9857200000","37.5808485000"
"BE_IW10-0495","문화재유산|문화재구분|가옥","가회동 백인제 가옥","서울특별시 종로구 가회동 93-1","서울특별시","종로구","가회동","","","Y ","126.9841689000","37.5808040000"
"BE_IW10-0496","문화재유산|문화재구분|누정","석파정 별당","서울특별시 종로구 홍지동 125","서울특별시","종로구","부암동","","","Y ","126.9586308000","37.5992338000"
"BE_IW10-0497","문화재유산|문화재구분|누정","오운정","서울특별시 종로구 세종로 1","서울특별시","종로구","청운효자동","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0498","문화재유산|문화재구분|누정","종친부터우물","서울특별시 종로고 소격동 165","서울특별시","종로구","삼청동","","","Y ","126.9783880000","37.5666100000"
"BE_IW10-0451","문화재유산|문화재구분|문묘","서울 문묘와 성균관","서울특별시 종로구 명륜동3가 53","서울특별시","종로구","삼청동","","","Y ","126.9957415000","37.5858106000"
"BE_IW10-0452","문화재유산|문화재구분|문묘","숭보사","서울특별시 종로구 명륜동 3가 15-3","서울특별시","종로구","혜화동","","","Y ","126.9963338000","37.5865853000"
"BE_IW10-0864","문화재유산|문화재구분|민속자료","음기설로 꼭 닫힌 숙정문","","","","","","","Y ","",""
"BE_IW10-0865","문화재유산|문화재구분|민속자료","삼각산아래에서 왕비가 나다","","","","","","","Y ","",""
"BE_IW10-0866","문화재유산|문화재구분|민속자료","재가 금지법을 만든 황희","","","","","","","Y ","",""
"BE_IW10-0900","장소/위치|종로여행","숭인동(단종애사 정순왕후의 숨결길)_ 약 2시간 30분","","","","","","","Y ","",""
"BE_IW10-0901","장소/위치|종로여행","세종마을(서민의 역사와 일상이 살아 숨쉬는 길) _ 약 2시간 30분","","","","","","","Y ","",""
"BE_IW10-0916","장소/위치|종로여행","김종영미술관","서울시 종로구 평창동 114-8","서울특별시","종로구","평창동","02-3217-6484","http://www.kimchongyung.com","Y ","126.9776575000","37.6130429000"
"BE_IW10-0917","장소/위치|종로여행","키미아트","서울시 종로구 평창동 479-2","서울특별시","종로구","평창동","02-394-6411","","Y ","126.9743334000","37.6129684000"
"BE_IW10-0918","장소/위치|종로여행","영인문학관","서울시 종로구 평창동 499-3","서울특별시","종로구","평창동","02-379-3182","","Y ","126.9717407000","37.6119149000"
"BE_IW10-0919","장소/위치|종로여행","화정박물관","서울특별시 종로구 평창동 273-1","서울특별시","종로구","평창동","02-2075-0114","http://www.hjmuseum.or.kr/museum/main.asp","Y ","126.9659835000","37.6046315000"
"BE_IW10-0920","장소/위치|종로여행","세종이야기?충무공이야기","서울시 종로구 세종로 81-3","서울특별시","종로구","사직동","02-399-1114","http://yisunshinstory.or.kr","Y ","126.9760754000","37.5722306000"
"BE_IW10-0921","장소/위치|종로여행","대한민국역사박물관","서울시 종로구 세종로 82-1","서울특별시","종로구","사직동","02-3703-9200","http://www.much.go.kr","Y ","126.9779223000","37.5739219000"
"BE_IW10-0922","장소/위치|종로여행","대림미술관","서울시 종로구 통의동 35-1","서울특별시","종로구","사직동","02-720-0667","http://www.daelimmuseum.org/index.do","Y ","126.9733074000","37.5774958000"
"BE_IW10-0923","장소/위치|종로여행","창덕궁 전경을 감상할 수 있는 북촌1경","","","","","","","Y ","",""
"BE_IW10-0924","장소/위치|종로여행","녹음 속에서 잠시 즐기는 휴식 삼청공원","","","","","","","Y ","",""
"BE_IW10-0925","장소/위치|종로여행","상명대학교 박물관","서울특별시 종로구 평창동 577-7 B동","서울특별시","종로구","평창동","","http://museum.smu.ac.kr","Y ","126.9759660000","37.6105555000"
"BE_IW10-0926","장소/위치|종로여행","가나아트센터","서울시 종로구 평창동 97","서울특별시","종로구","평창동","","http://www.ganaart.com","Y ","126.9751895000","37.6122360000"
"BE_IW10-0927","장소/위치|종로여행","토탈미술관","서울특별시 종로구 평창동 465-16","서울특별시","종로구","평창동","","http://www.totalmuseum.org","Y ","126.9757439000","37.6121142000"
"BE_IW10-0928","장소/위치|종로여행","삼청동을 한눈에 삼청동전망대","","","","","","","Y ","",""
"BE_IW10-0929","장소/위치|종로여행","삼청동의 시작 화개길","","","","","","","Y ","",""
"BE_IW10-0930","장소/위치|종로여행","전통과 현대가 어우러져 더욱 멋스러운 인사동길","","","","","","","Y ","",""
"BE_IW10-0931","장소/위치|종로여행","자유로운 젊음의 무대 마로니에공원","","","","","","","Y ","",""
"BE_IW10-0912","장소/위치|종로여행","경찰박물관","서울시 종로구 신문로2가 58","서울특별시","종로구","사직동","02-3150-3681","http://www.policemuseum.go.kr","Y ","126.9696697000","37.5690134000"
"BE_IW10-0913","장소/위치|종로여행","서울역사박물관","서울시 종로구 신문로2가 2-1","서울특별시","종로구","사직동","","http://www.museum.seoul.kr","Y ","126.9688348000","37.5707649000"
"BE_IW10-0914","장소/위치|종로여행","명륜동(인과 예의 고장길)_ 약 2시간","","","","","","","Y ","",""
"BE_IW10-0932","장소/위치|종로여행","다시 찾고 싶은 동네 벽화마을","","","","","","","Y ","",""
"BE_IW10-0902","장소/위치|종로여행","부암동(생태.문화 탐방길) _ 약 3시간","","","","","","","Y ","",""
"BE_IW10-0903","장소/위치|종로여행","근대식 우편 제도를 처음 도입한 우정총국 체신기념관","","","","","","","Y ","",""
"BE_IW10-0904","장소/위치|종로여행","청풍계를 바라보며 걷는 길 윤동주 시인의 언덕","","","","","","","Y ","",""
"BE_IW10-0905","장소/위치|종로여행","쌍효잣골을 아시나요? 쌍홍문 터","","","","","","","Y ","",""
"BE_IW10-0248","장소/위치|시설|민간시설|공연장","청아소극장","서울시 종로구 혜화동 195","서울특별시","종로구","혜화동","02-741-1837","http://blog.daum.net/cheongatheater","Y ","127.0026068000","37.5839943000"
"BE_IW10-0376","장소/위치|관광안내소","종묘 ","","","","","02-765-0195","","Y ","",""
"BE_IW10-0379","장소/위치|관광안내소","버스","","","","","","","Y ","",""
"BE_IW10-0400","문화재유산","서울 동관왕묘","서울특별시 종로구 숭인동 238-1","서울특별시","종로구","숭인2동","","","Y ","127.0183336000","37.5729800000"
"BE_IW10-0401","문화재유산","안양암 마애관음보살좌상","서울특별시 종로구 창신동 130-1","서울특별시","종로구","창신1동","","","Y ","127.0133571000","37.5754539000"
"BE_IW10-0382","장소/위치|관광안내소","지하철","","","","","","","Y ","",""
"BE_IW10-0383","장소/위치|관광안내소","공항버스노선 ","","","","","","","Y ","",""
"BE_IW10-0384","장소/위치|관광안내소","여행정보사이트","","","","","","","Y ","",""
"BE_IW10-0388","문화재유산","창덕궁 희정당 금강산만물초승경도","서울특별시 종로구 와룡동 2-71","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9913206000","37.5827758000"
"BE_IW10-0389","문화재유산","창덕궁 경훈각 삼선관파도","서울특별시 종로구 와룡동 2-71","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9913206000","37.5827758000"
"BE_IW10-0390","문화재유산","창덕궁 경훈각 조일선관도","서울특별시 종로구 와룡동 2-71","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9913206000","37.5827758000"
"BE_IW10-0391","문화재유산","서울 탑골공원","종로2가 38-1","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9883480000","37.5712060000"
"BE_IW10-0392","문화재유산","서울 지장암 목조비로자나불좌상","창신동 626-3","서울특별시","종로구","창신2동","","","Y ","127.0087852000","37.5776552000"
"BE_IW10-0393","문화재유산","서울 부암동 백석동천","서울 종로구 부암동 115","서울특별시","종로구","부암동","","","Y ","126.9663345000","37.6004294000"
"BE_IW10-0394","문화재유산","문화재유산","나머지주소","","","","010-123-1234","","Y ","",""
"BE_IW10-0395","문화재유산","장안당","","","","","","","Y ","",""
"BE_IW10-0396","문화재유산","옥호루","","","","","","","Y ","",""
"BE_IW10-0397","문화재유산","서울 백악산 일원","서울 종로구 청운동 산2-27","서울특별시","종로구","청운효자동","","","Y ","126.9658620000","37.5848380000"
"BE_IW10-0398","문화재유산","석불좌상","서울특별시 종로구 세종로 1 ","서울특별시","종로구","청운효자동","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0399","문화재유산","창덕궁 대조전 백학도","서울특별시 종로구 와룡동 2-71","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9913206000","37.5827758000"
"BE_IW10-0402","문화재유산|문화재구분","서울 청계천 유적[광통교지수표교지오간수문지]","관철동 일반 270-1","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9859730000","37.5691073000"
"BE_IW10-0403","문화재유산|문화재구분","청계천","","","","","","","Y ","",""
"BE_IW10-0450","문화재유산|문화재구분|문묘","탕평비","서울특별시 종로구 명륜동 3가","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9931000000","37.5875000000"
"BE_IW10-0456","문화재유산|문화재구분|건축","YMCA회관","","","","","","","Y ","",""
"BE_IW10-0404","문화재유산|문화재구분|궁궐","경희궁지","","","","","","","Y ","",""
"BE_IW10-0405","문화재유산|문화재구분|궁궐","경복궁 근정전","서울특별시 종로구 세종로 1-1 경복궁","서울특별시","종로구","청운효자동","","","Y ","126.9769632000","37.5806903000"
"BE_IW10-0406","문화재유산|문화재구분|궁궐","경복궁 경회루","서울특별시 종로구 세종로 1-1 경복궁","서울특별시","종로구","청운효자동","","","Y ","126.9769632000","37.5806903000"
"BE_IW10-0380","장소/위치|관광안내소","택시","","","","","","","Y ","",""
"BE_IW10-0381","장소/위치|관광안내소","운현궁 ","","","","","02-766-9090","","Y ","",""
"BE_IW10-0377","장소/위치|관광안내소","창경궁 ","서울특별시 종로구 창경궁로 185","서울특별시","종로구","종로1.2.3.4가동","02-762-4868","","Y ","",""
"BE_IW10-0378","장소/위치|관광안내소","창덕궁","","","","","02-762-8261","","Y ","",""
"BE_IW10-0375","장소/위치|관광안내소","관광자료/통계","","","","","","","Y ","",""
"BE_IW10-0411","문화재유산|문화재구분|궁궐","덕수궁","종로구 서울특별시 중구 정동 5-1","서울특별시","중구","소공동","","","Y ","126.9796420000","37.5730330000"
"BE_IW10-0412","문화재유산|문화재구분|궁궐","돈화문","서울특별시 종로구 와룡동 2-71 창덕궁","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9913206000","37.5827758000"
"BE_IW10-0413","문화재유산|문화재구분|궁궐","창덕궁 대조전","서울특별시 종로구 와룡동 2-71 창덕궁","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9913206000","37.5827758000"
"BE_IW10-0428","문화재유산|문화재구분|궁궐","경희궁지","서울특별시 종로구 신문로2가1-126","서울특별시","종로구","사직동","","","Y ","126.9679963000","37.5721918000"
"BE_IW10-0429","문화재유산|문화재구분|궁궐","경복궁 아미산의굴뚝","서울특별시 종로구 세종로 1 경복궁","서울특별시","종로구","청운효자동","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0430","문화재유산|문화재구분|궁궐","경복궁 자경전","서울특별시 종로구 세종로 1 경복궁","서울특별시","종로구","청운효자동","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0431","문화재유산|문화재구분|궁궐","오운정","서울특별시 종로구 세종로 1","서울특별시","종로구","청운효자동","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0437","문화재유산|문화재구분|도성","소의문","서울특별시 중구 순화동","서울특별시","중구","소공동","","","Y ","126.9704380000","37.5627580000"
"BE_IW10-0438","문화재유산|문화재구분|도성","서울 한양도성","서울특별시 종로구 누상동 산1-3외","서울특별시","종로구","청운효자동","","","Y ","126.9659005000","37.5815283000"
"BE_IW10-0439","문화재유산|문화재구분|도성","돈의문","서울특별시 종로구 신문로 2가","서울특별시","종로구","종로1.2.3.4가동","","","Y ","126.9688130000","37.5707920000"
"BE_IW10-0440","문화재유산|문화재구분|도성","숭례문","서울특별시 중구 남대문로4가 29","서울특별시","중구","소공동","","","Y ","126.9753240000","37.5599933000"
"BE_IW10-0441","문화재유산|문화재구분|도성","숙정문","서울특별시 종로구 삼청동 산2-1","서울특별시","종로구","삼청동","","","Y ","126.9808095000","37.5885407000"
"BE_IW10-0442","문화재유산|문화재구분|도성","홍지문 및 탕춘대성","서울특별시 종로구홍지동 산4","서울특별시","종로구","부암동","","","Y ","126.9582734000","37.5984650000"
